CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment_RuleBased,Cluster,Segment_Cluster
C00192,141,17,29475.55,2,5,5,255,12,At Risk,0,At Risk
C00193,404,3,2619.3,1,1,2,112,4,Dormant / Lost,3,Dormant / Lost
C00194,80,7,2001.96,3,3,1,331,7,Needs Attention,1,Price-Sensitive / Low-Value
C00195,18,12,4630.29,5,4,3,543,12,Loyal Customers,0,At Risk
C00196,26,24,75691.68000000001,5,5,5,555,15,Champions,2,Champions
C00197,38,13,23044.71,4,4,4,444,12,Champions,2,Champions
C00198,151,5,1969.4699999999998,2,2,1,221,5,Dormant / Lost,1,Price-Sensitive / Low-Value
C00199,375,2,1724.8400000000001,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00200,73,3,994.9300000000001,3,1,1,311,5,Needs Attention,1,Price-Sensitive / Low-Value
C00201,38,21,37117.12,4,5,5,455,14,Champions,2,Champions
C00202,44,16,25721.53,4,5,4,454,13,Champions,2,Champions
C00203,494,5,4137.74,1,2,3,123,6,Needs Attention,3,Dormant / Lost
C00204,5,22,39119.43,5,5,5,555,15,Champions,2,Champions
C00205,107,3,3698.98,3,1,3,313,7,Needs Attention,1,Price-Sensitive / Low-Value
C00206,16,25,81892.33,5,5,5,555,15,Champions,2,Champions
C00207,12,15,28006.43,5,4,5,545,14,Champions,2,Champions
C00208,27,7,2637.23,5,3,2,532,10,Needs Attention,1,Price-Sensitive / Low-Value
C00209,110,10,4506.62,3,4,3,343,10,Loyal Customers,0,At Risk
C00210,159,6,9434.73,2,2,3,223,7,Needs Attention,0,At Risk
C00211,33,14,23714.37,4,4,4,444,12,Champions,2,Champions
C00212,230,4,3023.06,1,2,2,122,5,Dormant / Lost,3,Dormant / Lost
C00213,43,10,17882.89,4,4,4,444,12,Champions,0,At Risk
C00214,113,2,3349.79,3,1,2,312,6,Needs Attention,1,Price-Sensitive / Low-Value
C00215,409,3,1671.83,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00216,22,17,30806.45,5,5,5,555,15,Champions,2,Champions
C00217,202,3,2022.5900000000001,2,1,1,211,4,Dormant / Lost,1,Price-Sensitive / Low-Value
C00218,47,13,24010.22,4,4,4,444,12,Champions,2,Champions
C00219,22,2,1596.22,5,1,1,511,7,New Customers,1,Price-Sensitive / Low-Value
C00220,129,8,15698.55,2,3,4,234,9,At Risk,0,At Risk
C00221,316,3,1731.09,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00222,14,10,17597.4,5,4,4,544,13,Champions,2,Champions
C00223,190,11,18721.25,2,4,4,244,10,At Risk,0,At Risk
C00224,268,6,4722.21,1,2,3,123,6,Needs Attention,3,Dormant / Lost
C00225,191,1,1039.98,2,1,1,211,4,Dormant / Lost,1,Price-Sensitive / Low-Value
C00226,251,1,1177.96,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00227,45,16,24408.86,4,5,4,454,13,Champions,2,Champions
C00228,35,7,1765.25,4,3,1,431,8,Needs Attention,1,Price-Sensitive / Low-Value
C00229,17,18,59311.41,5,5,5,555,15,Champions,2,Champions
C00230,25,27,87268.27,5,5,5,555,15,Champions,2,Champions
C00231,128,9,3782.51,2,3,3,233,8,At Risk,1,Price-Sensitive / Low-Value
C00232,162,8,11601.84,2,3,3,233,8,At Risk,0,At Risk
C00233,429,1,602.97,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00234,541,4,4140.34,1,2,3,123,6,Needs Attention,3,Dormant / Lost
C00235,186,5,1881.96,2,2,1,221,5,Dormant / Lost,1,Price-Sensitive / Low-Value
C00236,266,2,1564.2,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00237,22,7,1988.01,5,3,1,531,9,Needs Attention,1,Price-Sensitive / Low-Value
C00238,30,10,21487.45,5,4,4,544,13,Champions,2,Champions
C00239,115,9,2922.25,3,3,2,332,8,Needs Attention,1,Price-Sensitive / Low-Value
C00240,22,12,21277.64,5,4,4,544,13,Champions,2,Champions
C00241,224,14,24597.09,1,4,4,144,9,At Risk,0,At Risk
C00242,259,4,2845.68,1,2,2,122,5,Dormant / Lost,3,Dormant / Lost
C00243,65,3,3049.17,4,1,2,412,7,New Customers,1,Price-Sensitive / Low-Value
C00244,423,5,4063.9999999999995,1,2,3,123,6,Needs Attention,3,Dormant / Lost
C00245,77,12,22672.41,3,4,4,344,11,Loyal Customers,0,At Risk
C00246,76,6,2343.12,3,2,2,322,7,Needs Attention,1,Price-Sensitive / Low-Value
C00247,30,17,32094.059999999998,5,5,5,555,15,Champions,2,Champions
C00248,136,7,3005.79,2,3,2,232,7,Needs Attention,1,Price-Sensitive / Low-Value
C00249,98,7,2803.33,3,3,2,332,8,Needs Attention,1,Price-Sensitive / Low-Value
C00250,148,7,3445.56,2,3,3,233,8,At Risk,1,Price-Sensitive / Low-Value
C00251,33,13,25183.7,4,4,4,444,12,Champions,2,Champions
C00252,18,30,91452.19,5,5,5,555,15,Champions,2,Champions
C00253,14,18,31443.55,5,5,5,555,15,Champions,2,Champions
C00254,70,3,1018.54,3,1,1,311,5,Needs Attention,1,Price-Sensitive / Low-Value
C00255,414,6,3911.86,1,2,3,123,6,Needs Attention,3,Dormant / Lost
C00256,46,16,28949.2,4,5,5,455,14,Champions,2,Champions
C00257,108,11,4552.27,3,4,3,343,10,Loyal Customers,0,At Risk
C00258,375,3,3444.75,1,1,2,112,4,Dormant / Lost,3,Dormant / Lost
C00259,30,2,1894.0700000000002,5,1,1,511,7,New Customers,1,Price-Sensitive / Low-Value
C00260,125,4,1797.76,2,2,1,221,5,Dormant / Lost,1,Price-Sensitive / Low-Value
C00261,157,2,1486.98,2,1,1,211,4,Dormant / Lost,1,Price-Sensitive / Low-Value
C00262,28,11,20010.75,5,4,4,544,13,Champions,2,Champions
C00263,179,11,15948.26,2,4,4,244,10,At Risk,0,At Risk
C00264,19,18,57224.82,5,5,5,555,15,Champions,2,Champions
C00265,241,6,4710.9,1,2,3,123,6,Needs Attention,3,Dormant / Lost
C00266,441,4,2962.2999999999997,1,2,2,122,5,Dormant / Lost,3,Dormant / Lost
C00267,81,7,2768.5499999999997,3,3,2,332,8,Needs Attention,1,Price-Sensitive / Low-Value
C00268,43,23,74869.9,4,5,5,455,14,Champions,2,Champions
C00269,103,3,2979.66,3,1,2,312,6,Needs Attention,1,Price-Sensitive / Low-Value
C00270,46,10,20357.89,4,4,4,444,12,Champions,0,At Risk
C00271,18,27,84026.4,5,5,5,555,15,Champions,2,Champions
C00272,74,4,1417.32,3,2,1,321,6,Needs Attention,1,Price-Sensitive / Low-Value
C00273,340,4,2491.96,1,2,2,122,5,Dormant / Lost,3,Dormant / Lost
C00274,291,8,5570.82,1,3,3,133,7,At Risk,3,Dormant / Lost
C00275,105,4,1859.1100000000001,3,2,1,321,6,Needs Attention,1,Price-Sensitive / Low-Value
C00276,63,9,17434.53,4,3,4,434,11,Loyal Customers,0,At Risk
C00277,20,14,26692.55,5,4,5,545,14,Champions,2,Champions
C00278,244,12,21110.56,1,4,4,144,9,At Risk,0,At Risk
C00279,188,1,285.23,2,1,1,211,4,Dormant / Lost,1,Price-Sensitive / Low-Value
C00280,364,5,4285.68,1,2,3,123,6,Needs Attention,3,Dormant / Lost
C00281,184,9,15925.35,2,3,4,234,9,At Risk,0,At Risk
C00282,176,14,19199.17,2,4,4,244,10,At Risk,0,At Risk
C00283,11,28,89303.74,5,5,5,555,15,Champions,2,Champions
C00284,204,7,11178.220000000001,2,3,3,233,8,At Risk,0,At Risk
C00285,169,2,2932.13,2,1,2,212,5,Dormant / Lost,1,Price-Sensitive / Low-Value
C00286,7,16,28218.07,5,5,5,555,15,Champions,2,Champions
C00287,47,3,3764.3,4,1,3,413,8,New Customers,1,Price-Sensitive / Low-Value
C00288,265,5,4636.92,1,2,3,123,6,Needs Attention,3,Dormant / Lost
C00289,65,8,3326.5,4,3,2,432,9,Needs Attention,1,Price-Sensitive / Low-Value
C00290,18,34,104853.32,5,5,5,555,15,Champions,2,Champions
C00291,9,16,30099.28,5,5,5,555,15,Champions,2,Champions
C00292,60,5,5247.9400000000005,4,2,3,423,9,New Customers,1,Price-Sensitive / Low-Value
C00293,206,10,18442.1,2,4,4,244,10,At Risk,0,At Risk
C00294,221,9,14042.560000000001,1,3,4,134,8,At Risk,0,At Risk
C00295,163,3,4036.95,2,1,3,213,6,Needs Attention,1,Price-Sensitive / Low-Value
C00296,118,8,2580.0099999999998,3,3,2,332,8,Needs Attention,1,Price-Sensitive / Low-Value
C00297,142,5,2280.64,2,2,2,222,6,Dormant / Lost,1,Price-Sensitive / Low-Value
C00298,139,8,14962.15,2,3,4,234,9,At Risk,0,At Risk
C00299,262,5,2556.85,1,2,2,122,5,Dormant / Lost,3,Dormant / Lost
C00300,151,9,11634.64,2,3,3,233,8,At Risk,0,At Risk
C00301,44,25,87535.49,4,5,5,455,14,Champions,2,Champions
C00302,42,1,1087.01,4,1,1,411,6,New Customers,1,Price-Sensitive / Low-Value
C00303,100,10,4848.21,3,4,3,343,10,Loyal Customers,0,At Risk
C00304,347,3,2660.55,1,1,2,112,4,Dormant / Lost,3,Dormant / Lost
C00305,87,8,3429.41,3,3,2,332,8,Needs Attention,1,Price-Sensitive / Low-Value
C00306,380,6,3666.3,1,2,3,123,6,Needs Attention,3,Dormant / Lost
C00307,302,4,2362.71,1,2,2,122,5,Dormant / Lost,3,Dormant / Lost
C00308,113,6,3246.16,3,2,2,322,7,Needs Attention,1,Price-Sensitive / Low-Value
C00309,70,1,935.32,3,1,1,311,5,Needs Attention,1,Price-Sensitive / Low-Value
C00310,72,2,1904.32,3,1,1,311,5,Needs Attention,1,Price-Sensitive / Low-Value
C00311,76,5,4548.64,3,2,3,323,8,Needs Attention,1,Price-Sensitive / Low-Value
C00312,38,4,1446.39,4,2,1,421,7,New Customers,1,Price-Sensitive / Low-Value
C00313,82,21,34142.2,3,5,5,355,13,Loyal Customers,2,Champions
C00314,188,7,2711.99,2,3,2,232,7,Needs Attention,1,Price-Sensitive / Low-Value
C00315,45,12,19141.55,4,4,4,444,12,Champions,2,Champions
C00316,236,1,1512.4,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00317,50,15,27050.52,4,5,5,455,14,Champions,2,Champions
C00318,78,6,2495.23,3,2,2,322,7,Needs Attention,1,Price-Sensitive / Low-Value
C00319,344,6,3173.46,1,2,2,122,5,Dormant / Lost,3,Dormant / Lost
C00320,208,12,20066.57,2,4,4,244,10,At Risk,0,At Risk
C00321,81,12,19696.52,3,4,4,344,11,Loyal Customers,0,At Risk
C00322,212,7,10695.25,2,3,3,233,8,At Risk,0,At Risk
C00323,65,9,4762.71,4,3,3,433,10,Loyal Customers,1,Price-Sensitive / Low-Value
C00324,193,16,26724.28,2,5,5,255,12,At Risk,0,At Risk
C00325,56,17,34610.08,4,5,5,455,14,Champions,2,Champions
C00326,31,16,26000.170000000002,5,5,4,554,14,Champions,2,Champions
C00327,66,4,3109.57,4,2,2,422,8,New Customers,1,Price-Sensitive / Low-Value
C00328,19,17,31550.29,5,5,5,555,15,Champions,2,Champions
C00329,55,6,3032.92,4,2,2,422,8,New Customers,1,Price-Sensitive / Low-Value
C00330,18,25,82787.64,5,5,5,555,15,Champions,2,Champions
C00331,173,5,2031.78,2,2,1,221,5,Dormant / Lost,1,Price-Sensitive / Low-Value
C00332,110,14,25811.3,3,4,4,344,11,Loyal Customers,0,At Risk
C00333,228,1,1461.88,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00334,130,8,13368.41,2,3,4,234,9,At Risk,0,At Risk
C00335,71,8,2451.87,3,3,2,332,8,Needs Attention,1,Price-Sensitive / Low-Value
C00336,421,2,1386.1100000000001,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00337,261,3,1730.81,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00338,92,7,2930.71,3,3,2,332,8,Needs Attention,1,Price-Sensitive / Low-Value
C00339,34,4,4459.24,4,2,3,423,9,New Customers,1,Price-Sensitive / Low-Value
C00340,248,2,461.63,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00341,121,8,3198.59,3,3,2,332,8,Needs Attention,1,Price-Sensitive / Low-Value
